model_name,f1_test,auc_test,silhoute,davies-bouldin
GAT_64_hd_64,0.7004337310791016,0.9225597977638245,0.3200139105319977,1.1583919274501473
GAT_64_hd_64,0.7317463159561157,0.919056236743927,0.30702856183052063,1.1308636767406142
GAT_64_hd_64,0.6926137208938599,0.9096366167068481,0.3071916699409485,1.1318181525572732
GAT_64_hd_64,0.7206023335456848,0.9054217338562012,0.3004581034183502,1.0975866854245335
GAT_64_hd_64,0.6910403966903687,0.9164302349090576,0.3282175660133362,1.114353598680752
GAT_64_hd_128,0.722875714302063,0.9271413683891296,0.2931329011917114,1.159511063770633
GAT_64_hd_128,0.712353527545929,0.9390822649002075,0.31142091751098633,1.1728894682396238
GAT_64_hd_128,0.7045599818229675,0.92214435338974,0.32303130626678467,1.1388843205259256
GAT_64_hd_128,0.6761842966079712,0.9168906211853027,0.31498825550079346,1.1264244849386849
GAT_64_hd_128,0.7090033888816833,0.9210366606712341,0.30808025598526,1.0599654615488276
GAT_64_hd_256,0.6887574791908264,0.9152525663375854,0.3288344144821167,1.1231413758183642
GAT_64_hd_256,0.7221555113792419,0.9175460338592529,0.3227653503417969,1.1425725880778237
GAT_64_hd_256,0.6974183320999146,0.9313786625862122,0.31737205386161804,1.1154965653440216
GAT_64_hd_256,0.6810330748558044,0.9317023158073425,0.32088157534599304,1.0492843485020897
GAT_64_hd_256,0.7192276120185852,0.9085631370544434,0.3224157691001892,1.0960694034057281
GAT_64_hd_512,0.7489267587661743,0.9130276441574097,0.33672142028808594,1.130422861230798
GAT_64_hd_512,0.732445478439331,0.9144667387008667,0.30549633502960205,1.0732135557993323
GAT_64_hd_512,0.699330747127533,0.9196280837059021,0.30461573600769043,1.1148293123560258
GAT_64_hd_512,0.7037328481674194,0.9248393774032593,0.2856053113937378,1.118917700391085
GAT_64_hd_512,0.7013847231864929,0.9300383925437927,0.3073984980583191,1.214398913174705
