model_name,f1_test,auc_test,silhoute,davies-bouldin
Supervised_GCN_64,0.6143893404319282,0.9021135649755513,0.43746742606163025,0.9869481543338683
Supervised_GCN_64,0.703776918081177,0.923505704455092,0.5067713260650635,0.9280517553492725
Supervised_GCN_64,0.6499681210807441,0.9281679192916991,0.5026186108589172,0.9463088831572956
Supervised_GCN_64,0.6090394802385567,0.9041723385733047,0.5150741338729858,0.9254209347518727
Supervised_GCN_64,0.54240898702414,0.9046608892884638,0.4670462906360626,1.0395171935265517
Supervised_GCN_64,0.6222936828051169,0.9457689382820186,0.502470076084137,0.9719555423476841
Supervised_GCN_64,0.6094069287126757,0.9173019179829328,0.4752642810344696,0.952736973670963
Supervised_GCN_64,0.6452095321259559,0.8856194478059044,0.4815417528152466,0.9742614613082607
Supervised_GCN_64,0.6158313689905386,0.904781168145304,0.4390745460987091,0.9260005268578129
Supervised_GCN_64,0.6630982723201079,0.9298849391949107,0.5106704235076904,0.8988470650652287
Supervised_GCN_128,0.5527181381032436,0.9192066332078478,0.4946644604206085,0.9118499901315278
Supervised_GCN_128,0.6339265418646423,0.9260059248574861,0.4814679026603699,0.911896456125158
Supervised_GCN_128,0.5958685048135157,0.9092225174089738,0.49757295846939087,0.9167942300734996
Supervised_GCN_128,0.561697778133323,0.8931941028449784,0.4423828423023224,0.9706955458771848
Supervised_GCN_128,0.6079742071753056,0.9337066516952482,0.4448913335800171,0.9401651917669853
Supervised_GCN_128,0.6181525628092893,0.9161229586584798,0.5198992490768433,0.9286902167531262
Supervised_GCN_128,0.5924760175353359,0.9160704065518135,0.5050108432769775,0.9450279827564906
Supervised_GCN_128,0.5517732854723865,0.9181973607762636,0.4508691430091858,0.8692322474543399
Supervised_GCN_128,0.54706930682977,0.9162532532906514,0.4643279016017914,0.9947657742483066
Supervised_GCN_128,0.4967346555267548,0.9294684613925941,0.40189817547798157,0.9761688383759921
