model_name,f1_test,auc_test,silhoute,davies-bouldin
GCN_64_hd_64,0.5345069431880348,0.9242080008217992,0.4518560171127319,0.9708645687783588
GCN_64_hd_64,0.4902963092472667,0.9009684612265876,0.4765307307243347,0.8973046859978832
GCN_64_hd_64,0.5034243268412711,0.8936421624148171,0.4977563023567199,0.9166277968374116
GCN_64_hd_64,0.5802914647687135,0.9197766451259902,0.4977606236934662,0.9909988254353126
GCN_64_hd_64,0.6000111168828383,0.9216045331146188,0.4970684349536896,0.9451221198023791
GCN_64_hd_64,0.5765226168827666,0.91585787678026,0.4242151081562042,0.9982068915062784
GCN_64_hd_64,0.5784760686099877,0.9219590628144309,0.4958142638206482,0.9274120499153224
GCN_64_hd_64,0.5318819740706564,0.9410813431889754,0.5094375610351562,0.8885700171254345
GCN_64_hd_64,0.5532714555132089,0.9060697857259868,0.4254871308803558,1.01402658754403
GCN_64_hd_64,0.6062182732161563,0.9013528006031124,0.4677565693855285,0.9577004137957869
GCN_64_hd_128,0.5651086806726416,0.9227717600752638,0.4741997718811035,0.8885986572428076
GCN_64_hd_128,0.5641187500092787,0.910586256354158,0.5159904360771179,0.8851550139818091
GCN_64_hd_128,0.5057869392464867,0.9117472417335472,0.4884664714336395,0.9109318395963444
GCN_64_hd_128,0.496929298876148,0.9097913218055176,0.5171033143997192,0.8849994571040138
GCN_64_hd_128,0.5841248524693806,0.9146467456995108,0.4954243004322052,0.9164299316688564
GCN_64_hd_128,0.5084972651218003,0.908367333222488,0.5172459483146667,0.9225250128110124
GCN_64_hd_128,0.4309369387982242,0.9080423503046484,0.5901542901992798,0.9269056216124127
GCN_64_hd_128,0.5736187874990623,0.9342465152335347,0.498102456331253,0.9634753038982332
GCN_64_hd_128,0.6344162519235101,0.9390225446332372,0.4482576549053192,0.9114733005090236
GCN_64_hd_128,0.6382560735137286,0.918727348942238,0.4040916860103607,0.941212086273308
GCN_64_hd_256,0.6524887635133536,0.902628315594916,0.4800448715686798,0.8937726535340776
GCN_64_hd_256,0.4538788989986143,0.894143742186358,0.5606525540351868,0.9822501009746848
GCN_64_hd_256,0.5729266959414927,0.9121915100718048,0.5193095207214355,0.9580175653769784
GCN_64_hd_256,0.5422547974633317,0.9107797510435356,0.4464439749717712,0.97558243266952
GCN_64_hd_256,0.5863212336009607,0.9232678705045176,0.4100400507450104,0.9511668154858532
GCN_64_hd_256,0.4751889190572955,0.8993971184088073,0.4696331322193146,0.8822924974825643
GCN_64_hd_256,0.5171614121149515,0.9117658558471172,0.5170150399208069,0.9179758309022434
GCN_64_hd_256,0.5579607422840158,0.9240266729467635,0.4765000939369201,0.9011575033469844
GCN_64_hd_256,0.545993917656541,0.9073996823558242,0.4945952296257019,0.8673591689660275
GCN_64_hd_256,0.5493786144911739,0.9038734153743836,0.5345176458358765,0.921264021831392
GCN_64_hd_512,0.5527923807187813,0.9117748313843556,0.4867516756057739,0.9137529660116626
GCN_64_hd_512,0.617821475655811,0.923004725757762,0.4594009220600128,0.9687900411306564
GCN_64_hd_512,0.5894911373719287,0.9255596675322462,0.4358980655670166,0.913785457515056
GCN_64_hd_512,0.5722891205397677,0.9023869836316836,0.4690490365028381,0.8899683926084031
GCN_64_hd_512,0.4986023580986062,0.901102215004258,0.5047164559364319,0.9248391625515482
GCN_64_hd_512,0.5203460911476823,0.921222529788356,0.5479819774627686,0.865111465487269
GCN_64_hd_512,0.5419601371469384,0.9066723926020333,0.4927133023738861,0.8441720985734574
GCN_64_hd_512,0.5907681759858129,0.9084474396919738,0.5018652081489563,0.8440639586881589
GCN_64_hd_512,0.5651664255931373,0.9222256814658996,0.4743559062480926,0.8780706736229102
GCN_64_hd_512,0.5827564488921853,0.9320890717600246,0.502240777015686,0.8894217866680015
