model_name,f1_test,auc_test,silhoute,davies-bouldin
GAT_emb_dim_64,0.7150543332099915,0.9127752184867859,0.3085844814777374,1.090976008667462
GAT_emb_dim_64,0.7095743417739868,0.9208310842514038,0.31510019302368164,1.0621569707611267
GAT_emb_dim_64,0.6903278827667236,0.9096148610115051,0.2711254954338074,1.1868213464247337
GAT_emb_dim_64,0.7393848896026611,0.9375402331352234,0.2934233844280243,1.0542010992621924
GAT_emb_dim_64,0.7375581860542297,0.9301666617393494,0.2836562693119049,1.0992149416480799
GAT_emb_dim_128,0.681825578212738,0.888832688331604,0.2954278886318207,1.0177185616365103
GAT_emb_dim_128,0.7386586666107178,0.9378957152366638,0.3080657720565796,1.1428749873775712
GAT_emb_dim_128,0.7107029557228088,0.9136506915092468,0.30046454071998596,1.0789665592775333
GAT_emb_dim_128,0.7304673790931702,0.8987845182418823,0.3065794110298157,1.0117636682941802
GAT_emb_dim_128,0.6736026406288147,0.8895833492279053,0.23436392843723297,1.294290796147138
