model_name,f1_test,auc_test,silhoute,davies-bouldin
Supervised_GCN_2,0.022049482789909865,0.5,0.5139449834823608,0.5182664793861804
Supervised_GCN_2,0.10201876649964083,0.8272660198925503,0.5551084876060486,0.48582402449199585
Supervised_GCN_2,0.11251196694362382,0.797350557812982,0.5381563305854797,0.5115927005517046
Supervised_GCN_2,0.11344935571227203,0.8345475947023988,0.548793613910675,0.49323583102808793
Supervised_GCN_2,0.022049482789909865,0.5,0.5371527075767517,0.5041636376745106
Supervised_GCN_2,0.12515987842429405,0.847483255137872,0.542043924331665,0.49660625471626074
Supervised_GCN_2,0.14284824117219516,0.834594559357648,0.5491694808006287,0.49737950214751825
Supervised_GCN_2,0.16194345152498732,0.8111255848205815,0.5628697276115417,0.48643912832688874
Supervised_GCN_2,0.15194621951487539,0.8492995051895066,0.5305567383766174,0.49702514499857836
Supervised_GCN_2,0.13751622723198992,0.8368330053066113,0.5394677519798279,0.5047202225331487
Supervised_GCN_4,0.2295567380707568,0.877036952184757,0.4385829269886017,0.8347047680612405
Supervised_GCN_4,0.27703824394986937,0.8799405817126732,0.3829977810382843,0.8137733901898998
Supervised_GCN_4,0.20593872882409728,0.8858680072870223,0.4322187602519989,0.8345282303193641
Supervised_GCN_4,0.3000563090876356,0.8815508199150804,0.4395512342453003,0.7009207888069188
Supervised_GCN_4,0.333795623143692,0.8926533094209248,0.38130369782447815,0.8953220178604947
Supervised_GCN_4,0.278954763708938,0.8848203495132431,0.434980183839798,0.7734774182701951
Supervised_GCN_4,0.14818098841339714,0.8715585923393495,0.4342232346534729,0.8709153337527669
Supervised_GCN_4,0.022049482789909865,0.5,0.31741002202033997,0.890972586662163
Supervised_GCN_4,0.24537346928080264,0.8717693299570551,0.3848519027233124,0.772462757054222
Supervised_GCN_4,0.15604029418880797,0.8420596819497393,0.38012781739234924,0.8664633407686135
Supervised_GCN_8,0.4531736138024007,0.9027228022200318,0.39247676730155945,0.8743091560341796
Supervised_GCN_8,0.4940105973581103,0.917593716571843,0.40556156635284424,0.9401684300899473
Supervised_GCN_8,0.5213896830464325,0.9266532803732674,0.3945782780647278,0.9789265233135414
Supervised_GCN_8,0.31604167163762115,0.8911359987851718,0.4385431706905365,0.9060693480101928
Supervised_GCN_8,0.25648429857644556,0.8840654030869014,0.41803959012031555,0.7943185426576644
Supervised_GCN_8,0.15680452792605892,0.8618641256829651,0.509483814239502,0.6632429994330858
Supervised_GCN_8,0.44987668829985855,0.9047575030459193,0.4102451801300049,0.9347061037307446
Supervised_GCN_8,0.501569193139804,0.9028251053588308,0.4143858551979065,0.8965361045176744
Supervised_GCN_8,0.48912134850170086,0.9233882674761084,0.40418651700019836,0.9232894437004596
Supervised_GCN_8,0.4226158289853092,0.9036080393220072,0.43006253242492676,0.9247344946318184
Supervised_GCN_16,0.5849077917415317,0.922008974047345,0.41365641355514526,0.9269185759171863
Supervised_GCN_16,0.5778406482861796,0.8972827303245081,0.4001629054546356,0.947441213326881
Supervised_GCN_16,0.48200116152049094,0.9236269359258014,0.4139803349971771,0.8669950154248862
Supervised_GCN_16,0.6060221134551099,0.9392724213013545,0.4498788118362427,0.9347573413361484
Supervised_GCN_16,0.5403271160557576,0.916684869650318,0.4750136137008667,0.8951829192251906
Supervised_GCN_16,0.5374400482812169,0.9210695003319821,0.40000972151756287,0.9137659664935834
Supervised_GCN_16,0.5782138128343611,0.9269186743317888,0.3594612777233124,0.9225255886793381
Supervised_GCN_16,0.49801727434014303,0.9090920105668219,0.44841498136520386,0.8807607157821888
Supervised_GCN_16,0.5713598874523913,0.9136422410506331,0.40008530020713806,0.9848431067570718
Supervised_GCN_16,0.569223399954095,0.8946333083960915,0.43851208686828613,0.9655335573158805
Supervised_GCN_32,0.5968137718157437,0.9332093499175192,0.46391651034355164,1.1353947754343894
Supervised_GCN_32,0.5742104163862989,0.9212829756694874,0.36278071999549866,1.0093550761746493
Supervised_GCN_32,0.5845402775730644,0.9233289298196091,0.3990207016468048,0.9471293657347889
Supervised_GCN_32,0.5868491112515436,0.9102860092030196,0.47234880924224854,0.9303517065241077
Supervised_GCN_32,0.556628626883111,0.9230714034714464,0.4038628041744232,0.935239708061161
Supervised_GCN_32,0.5299561421077631,0.9071179146514329,0.4349310100078583,1.005975396021261
Supervised_GCN_32,0.638395241094518,0.920099494891455,0.3984246253967285,0.9962689264437307
Supervised_GCN_32,0.5891251656207718,0.930090686267116,0.3874717950820923,0.9494823599424449
Supervised_GCN_32,0.5203011794854132,0.9070397037462616,0.43492621183395386,0.9293758650067584
Supervised_GCN_32,0.6058230529610428,0.9235710543039309,0.48184555768966675,0.9543836886932985
